date,ws_1,ws_2,ws_3,ws_4,di_1,di_2,di_3,di_4
1/1/2007 1:00,4.041,4.419,5.386,5.211,333.792,335.133,339.517,351.567
1/1/2007 2:00,3.82,4.036,5.188,5.176,345.25,327.167,332.175,345.908
1/1/2007 3:00,3.16,3.839,5.009,4.788,329.233,306.292,339.775,347.617
1/1/2007 4:00,3.37,2.839,4.304,3.792,333.317,336.817,344.792,344.108
1/1/2007 5:00,3.562,3.57,3.645,3.375,327.892,321.575,336.75,336.142
1/1/2007 6:00,3.406,3.567,3.268,3.129,317.675,314.858,335.342,340.092
1/1/2007 7:00,3.736,2.915,2.901,2.828,335.417,307.533,330.9,323.624
1/1/2007 8:00,3.423,2.585,2.525,2.86,337.317,337,321.912,65.462
1/1/2007 9:00,1.894,2.254,2.781,2.955,325.692,322.005,22.061,37.357
1/1/2007 10:00,1.083,1.305,3.016,2.527,241.928,57.689,58.508,60.017
1/1/2007 11:00,3.091,2.346,4.093,4.037,93.675,114.092,106.667,98.825
1/1/2007 12:00,4.081,4.135,4.119,4.293,118.617,131.842,120.408,124.3
1/1/2007 13:00,4.592,5.117,4.387,4.248,134.558,146.933,138.167,138.783
1/1/2007 14:00,4.615,5.453,4.698,4.85,138.583,149.525,140.383,143.1
1/1/2007 15:00,4.523,5.279,4.696,5.019,138.6,158.517,149.492,139.708
1/1/2007 16:00,4.492,5.029,4.495,4.879,138.558,159.875,153.55,134.342
1/1/2007 17:00,3.965,4.052,3.837,4.231,130.458,144.3,148.675,127.3
1/1/2007 18:00,3.584,3.167,3.109,3.527,112.408,124.817,119.35,114.258
1/1/2007 19:00,4.008,2.998,3.689,3.43,108.508,115.417,98.25,107.325
1/1/2007 20:00,4.153,2.809,2.958,3.228,110.842,119.883,102.783,117.508
1/1/2007 21:00,3.076,2.598,1.764,2.72,121.183,126.142,97.733,120.5
1/1/2007 22:00,3.509,2.827,2.631,2.506,117.05,125.975,99.308,113.017
1/1/2007 23:00,2.94,2.214,2.252,2.749,116.208,141.967,112.233,97.108
1/2/2007 0:00,1.56,1.448,1.453,1.726,113.642,161.017,135,73.54
1/2/2007 1:00,1.67,1.911,1.053,1.008,211.7,180.833,180.142,168.792
1/2/2007 2:00,1.123,1.265,2.258,1.893,291.117,227.333,238.158,274.092
1/2/2007 3:00,1.046,1.145,1.122,1.164,32.195,224.117,232.875,311.475
1/2/2007 4:00,0.836,1.493,0.114,0.652,141.398,219.175,162.917,99.757
1/2/2007 5:00,1.373,1.535,1.432,1.679,319.717,237.25,261.533,277.467
1/2/2007 6:00,1.644,1.641,1.952,1.661,298.903,226.408,272.308,306.417
1/2/2007 7:00,0.842,1.763,0.526,1.045,314.721,216.25,269.575,153.404
1/2/2007 8:00,0.227,1.696,0.814,0.071,206.225,223.35,251.6,20.578
1/2/2007 9:00,0.003,1.417,0.976,0.117,29.417,268.125,201.667,48.021
1/2/2007 10:00,0.134,2.013,0.989,0.759,91.233,227,240.392,149.667
1/2/2007 11:00,1.046,2.873,2.122,1.903,171.133,235.958,248.7,191.158
1/2/2007 12:00,2.34,3.137,2.595,2.381,180.658,229.358,227.525,175.8
1/2/2007 13:00,2.207,3.64,3.417,2.786,192.117,206.825,208.533,186.258
1/2/2007 14:00,2.096,3.436,3.383,2.27,179.508,197.425,216.292,188.292
1/2/2007 15:00,2.062,3.379,2.851,2.333,177.558,197.817,203.158,169.708
1/2/2007 16:00,2.667,3.546,3.047,2.638,200.05,212.3,197.308,170.7
1/2/2007 17:00,2.537,3.3,3.222,2.777,191.6,186.983,194.617,181.142
1/2/2007 18:00,2.256,2.794,2.548,2.86,180.175,168.575,188.792,173.575
1/2/2007 19:00,1.685,3.07,2.292,2.665,152.208,156.55,158.375,164
1/2/2007 20:00,2.359,3.31,2.554,2.556,144.233,154.883,148.867,155.967
1/2/2007 21:00,3.149,3.544,2.765,3.394,157.708,165.683,159.333,160.942
1/2/2007 22:00,3.343,4.823,3.064,3.963,167.2,164.683,168.758,168.608
1/2/2007 23:00,2.903,4.051,3.518,4.005,177.042,177.275,174.892,181.8
1/3/2007 0:00,2.858,3.991,4.142,3.739,177.575,190.167,185.525,182.7
1/3/2007 1:00,3.523,4.484,3.993,3.89,186.842,205.375,192.617,194.558
1/3/2007 2:00,3.564,5.04,4.201,4.194,192.417,210.108,197.058,184.683
1/3/2007 3:00,3.59,4.761,3.713,4.081,200.058,212.192,225.817,188.933
1/3/2007 4:00,3.344,4.832,2.82,4.244,204.575,211.15,220.175,197.733
1/3/2007 5:00,3.046,5.444,4.669,4.128,213.317,211.808,206.475,203.683
1/3/2007 6:00,3.176,5.998,3.619,3.74,239.575,213.667,219.55,234.417
1/3/2007 7:00,2.259,6.112,4.102,3.688,240.35,215.95,230.642,245.342
1/3/2007 8:00,2.339,6.243,4.233,4.458,243.375,224.092,227.733,231.883
1/3/2007 9:00,3.392,5.992,4.537,5.238,234.267,217.283,232.317,232.358
1/3/2007 10:00,4.134,6.682,5.648,5.959,232.042,214.742,225.358,230.725
1/3/2007 11:00,5.692,7.321,6.323,6.369,220.5,213.717,223.042,228.35
1/3/2007 12:00,6.252,8.943,8.346,6.918,217.492,204.033,216.95,217.9
1/3/2007 13:00,7.642,9.699,9.94,8.521,217.95,202.658,214.742,218.9
1/3/2007 14:00,8.15,9.178,8.541,10.705,204.108,205.858,218.075,206.225
1/3/2007 15:00,7.319,9.198,8.702,9.492,203.225,198.5,207.992,208.125
1/3/2007 16:00,7.43,8.015,8.727,8.683,193.275,197.392,203.008,199.458
1/3/2007 17:00,6.849,6.61,8.236,8.715,190.983,196.55,197.7,190.942
1/3/2007 18:00,5.819,5.868,6.3,6.893,184.083,186.717,193.1,188.05
1/3/2007 19:00,4.247,5.634,5.513,6.117,193.708,189.133,193.317,190.158
1/3/2007 20:00,3.938,5.9,4.127,4.533,202.1,197.958,205.85,205.9
1/3/2007 21:00,4.087,6.605,4.367,5.075,197.55,204.767,193.4,196.867
1/3/2007 22:00,3.653,6.191,4.569,5.157,196.108,201.475,198.475,183.883
1/3/2007 23:00,4.379,6.438,5.806,5.354,189.592,182.7,192.108,203.375
1/4/2007 0:00,5.032,6.865,5.472,5.605,209.283,201.133,204.875,207.383
1/4/2007 1:00,5.18,5.836,5.579,5.169,214.692,205.15,208.667,220.7
1/4/2007 2:00,4.9,4.923,4.786,4.715,216.167,193.25,220.533,224.858
1/4/2007 3:00,5.323,4.455,3.658,6.641,194.617,224.992,227.717,182.108
1/4/2007 4:00,5.96,4.994,6.44,7.478,181.217,173.267,178.567,196.417
1/4/2007 5:00,4.826,6.151,6.624,4.756,196.983,176.75,192.9,194.35
1/4/2007 6:00,5.335,5.73,5.139,3.905,230.542,185.833,204.333,198.942
1/4/2007 7:00,4.287,6.36,4.206,4.231,211.933,222.408,214.675,208.725
1/4/2007 8:00,4.019,6.357,3.741,4.049,206.358,225.075,201.35,184.992
1/4/2007 9:00,3.434,5.351,3.499,4.506,201.833,222.508,213.483,217.225
1/4/2007 10:00,3.936,4.597,4.164,5.863,227.2,231.7,216,236.658
1/4/2007 11:00,5.539,3.535,6.495,7.406,259.558,245.767,252.583,262.258
1/4/2007 12:00,6.709,4.983,4.503,7.357,282.992,276.608,262.933,280.033
1/4/2007 13:00,7.131,6.55,4.871,6.903,286,289.775,284.892,287.9
1/4/2007 14:00,7.076,6.299,6.87,7.353,288.325,317.317,305.067,298.008
1/4/2007 15:00,7.024,7.434,7.498,7.366,311.817,340.358,336.475,307.233
